%Molecule Name    : M-Xylene
%Description      :  p-silicalite gcmc final run
%Temperature      :     300.00
%Max Loading/uc   :       6.00
%Number of Points : 4001
%Type of file     :    2
%  Pressure     N         sigma      
%  kpa          mol/uc    ,ol/uc     
  2.155000000000000E-003   1.83353731140649        1.71219381736849     
  2.160000000000000E-003   1.83711037430433        1.71644796497083     
  2.165000000000000E-003   1.84068211455965        1.72069896362701     
  2.170000000000000E-003   1.84425253571497        1.72494996228320     
  2.175000000000000E-003   1.84782164129519        1.72919782881939     
  2.180000000000000E-003   1.85138943480767        1.73344569535558     
  2.185000000000000E-003   1.85495591974246        1.73769044643130     
  2.190000000000000E-003   1.85852109957231        1.74193519750702     
  2.195000000000000E-003   1.86208497775287        1.74617684961753     
  2.200000000000000E-003   1.86564755772279        1.75041850172804     
  2.205000000000000E-003   1.86920884290385        1.75465707120671     
  2.210000000000000E-003   1.87276883670105        1.75889564068538     
  2.215000000000000E-003   1.87632754250279        1.76313114370600     
  2.220000000000000E-003   1.87988496368091        1.76736664672662     
  2.225000000000000E-003   1.88344110359087        1.77159909930569     
  2.230000000000000E-003   1.88699596557187        1.77583155188475     
  2.235000000000000E-003   1.89054955294689        1.78006096988366     
  2.240000000000000E-003   1.89410186902290        1.78429038788258     
  2.245000000000000E-003   1.89765291709092        1.78851678700985     
  2.250000000000000E-003   1.90120270042611        1.79274318613713     
  2.255000000000000E-003   1.90475122228796        1.79696658195054     
  2.260000000000000E-003   1.90829848592031        1.80118997776394     
  2.265000000000000E-003   1.91184449455154        1.80541038567262     
  2.270000000000000E-003   1.91538925139460        1.80963079358129     
  2.275000000000000E-003   1.91893275964719        1.81384822884778     
